,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-01-11,3279.4830777329876,2483.860201567457,4128.391435093469,3279.4830777329876,3279.4830777329876,20.660935849576415,20.660935849576415,20.660935849576415,20.660935849576415,20.660935849576415,20.660935849576415,0.0,0.0,0.0,3300.144013582564
1,2019-01-12,3292.0566682120852,2488.9488707620244,4107.6221702243,3292.0566682120852,3292.0566682120852,7.339835900473872,7.339835900473872,7.339835900473872,7.339835900473872,7.339835900473872,7.339835900473872,0.0,0.0,0.0,3299.3965041125593
2,2019-01-13,3304.6302586911834,2451.252489338267,4116.244954004028,3304.6302586911834,3304.6302586911834,-9.954993557460202,-9.954993557460202,-9.954993557460202,-9.954993557460202,-9.954993557460202,-9.954993557460202,0.0,0.0,0.0,3294.6752651337233
3,2019-01-14,3317.203849170281,2582.823375331992,4224.076691410856,3317.2038491702806,3317.2038491702806,46.86684180688021,46.86684180688021,46.86684180688021,46.86684180688021,46.86684180688021,46.86684180688021,0.0,0.0,0.0,3364.070690977161
4,2019-01-15,3329.777439649379,2525.545937676901,4105.545304156826,3329.777439649379,3329.777439649379,-11.548890409506596,-11.548890409506596,-11.548890409506596,-11.548890409506596,-11.548890409506596,-11.548890409506596,0.0,0.0,0.0,3318.228549239873
5,2019-01-16,3342.351030128477,2528.7085727667645,4164.526634158774,3342.351030128477,3342.351030128477,13.22764338278199,13.22764338278199,13.22764338278199,13.22764338278199,13.22764338278199,13.22764338278199,0.0,0.0,0.0,3355.578673511259
6,2019-01-17,3354.9246206075745,2525.116663199299,4203.760851248304,3354.924620607575,3354.924620607575,-66.59137297228415,-66.59137297228415,-66.59137297228415,-66.59137297228415,-66.59137297228415,-66.59137297228415,0.0,0.0,0.0,3288.3332476352903
7,2019-01-18,3367.4982110866717,2659.1374504153846,4266.613560568358,3367.4982110866717,3367.4982110866717,20.66093584977365,20.66093584977365,20.66093584977365,20.66093584977365,20.66093584977365,20.66093584977365,0.0,0.0,0.0,3388.1591469364453
8,2019-01-19,3380.07180156577,2554.8367477880606,4129.610705081663,3380.07180156577,3380.07180156577,7.339835900263118,7.339835900263118,7.339835900263118,7.339835900263118,7.339835900263118,7.339835900263118,0.0,0.0,0.0,3387.411637466033
9,2019-01-20,3392.6453920448675,2511.461109469337,4235.957201693582,3392.6453920448675,3392.6453920448675,-9.954993557521808,-9.954993557521808,-9.954993557521808,-9.954993557521808,-9.954993557521808,-9.954993557521808,0.0,0.0,0.0,3382.6903984873456
10,2019-01-21,3405.218982523965,2640.0263681839097,4290.4916679571415,3405.218982523965,3405.218982523965,46.86684180670373,46.86684180670373,46.86684180670373,46.86684180670373,46.86684180670373,46.86684180670373,0.0,0.0,0.0,3452.085824330669
11,2019-01-22,3417.7925730030634,2538.195529392612,4163.33397801608,3417.7925730030634,3417.7925730030634,-11.54889040954812,-11.54889040954812,-11.54889040954812,-11.54889040954812,-11.54889040954812,-11.54889040954812,0.0,0.0,0.0,3406.243682593515
12,2019-01-23,3430.366163482161,2629.306872388135,4240.633011118032,3430.366163482161,3430.366163482161,13.22764338274302,13.22764338274302,13.22764338274302,13.22764338274302,13.22764338274302,13.22764338274302,0.0,0.0,0.0,3443.593806864904
13,2019-01-24,3442.9397543139326,2607.5877451691044,4160.012128025273,3442.9397543139326,3442.9397543139326,-66.5913729723753,-66.5913729723753,-66.5913729723753,-66.5913729723753,-66.5913729723753,-66.5913729723753,0.0,0.0,0.0,3376.3483813415573
14,2019-01-25,3455.5133451457036,2654.7561940984247,4270.229764331546,3455.513345145704,3455.513345145704,20.660935849525377,20.660935849525377,20.660935849525377,20.660935849525377,20.660935849525377,20.660935849525377,0.0,0.0,0.0,3476.174280995229
15,2019-01-26,3468.0869359774747,2552.3474764717803,4227.0672125515075,3468.0869359774747,3468.0869359774747,7.339835900074973,7.339835900074973,7.339835900074973,7.339835900074973,7.339835900074973,7.339835900074973,0.0,0.0,0.0,3475.4267718775495
16,2019-01-27,3480.6605268092467,2641.4520121109463,4295.683821670562,3480.6605268092467,3480.6605268092467,-9.954993557575957,-9.954993557575957,-9.954993557575957,-9.954993557575957,-9.954993557575957,-9.954993557575957,0.0,0.0,0.0,3470.7055332516707
17,2019-01-28,3493.234117641018,2752.032995115117,4371.069559054076,3493.234117641018,3493.234117641018,46.86684180676439,46.86684180676439,46.86684180676439,46.86684180676439,46.86684180676439,46.86684180676439,0.0,0.0,0.0,3540.1009594477828
18,2019-01-29,3505.8077084727893,2700.5396949136057,4308.208987477296,3505.8077084727893,3505.8077084727893,-11.548890409589644,-11.548890409589644,-11.548890409589644,-11.548890409589644,-11.548890409589644,-11.548890409589644,0.0,0.0,0.0,3494.2588180631997
19,2019-01-30,3518.3812993045603,2667.8477661208885,4361.5646954992935,3518.3812993045603,3518.3812993045603,13.227643382821805,13.227643382821805,13.227643382821805,13.227643382821805,13.227643382821805,13.227643382821805,0.0,0.0,0.0,3531.6089426873823
20,2019-01-31,3530.9548901363323,2661.682057220241,4286.466665523536,3530.9548901363323,3530.9548901363323,-66.59137297223309,-66.59137297223309,-66.59137297223309,-66.59137297223309,-66.59137297223309,-66.59137297223309,0.0,0.0,0.0,3464.3635171640994
21,2019-02-01,3543.528480968104,2841.909804219114,4465.388467452129,3543.5284809681043,3543.5284809681043,20.66093584965325,20.66093584965325,20.66093584965325,20.66093584965325,20.66093584965325,20.66093584965325,0.0,0.0,0.0,3564.1894168177573
22,2019-02-02,3556.102071799875,2706.8014160120288,4348.439104970045,3556.102071799875,3556.102071799875,7.339835900388696,7.339835900388696,7.339835900388696,7.339835900388696,7.339835900388696,7.339835900388696,0.0,0.0,0.0,3563.4419077002635
23,2019-02-03,3568.675662631647,2693.3216999519273,4389.602358591784,3568.675662631647,3568.675662631647,-9.95499355763011,-9.95499355763011,-9.95499355763011,-9.95499355763011,-9.95499355763011,-9.95499355763011,0.0,0.0,0.0,3558.7206690740168
24,2019-02-04,3581.2492545514124,2747.5234741247655,4465.177447485769,3581.2492545514124,3581.2492545514124,46.86684180663722,46.86684180663722,46.86684180663722,46.86684180663722,46.86684180663722,46.86684180663722,0.0,0.0,0.0,3628.1160963580496
25,2019-02-05,3593.8228464711783,2744.6659366077884,4352.201746492778,3593.8228464711783,3593.8228464711783,-11.548890409631165,-11.548890409631165,-11.548890409631165,-11.548890409631165,-11.548890409631165,-11.548890409631165,0.0,0.0,0.0,3582.2739560615473
26,2019-02-06,3606.3964383909442,2830.3386333050794,4406.936101251573,3606.3964383909442,3606.3964383909442,13.22764338290059,13.22764338290059,13.22764338290059,13.22764338290059,13.22764338290059,13.22764338290059,0.0,0.0,0.0,3619.624081773845
27,2019-02-07,3618.97003031071,2810.535483819155,4369.375669919352,3618.97003031071,3618.97003031071,-66.59137297232424,-66.59137297232424,-66.59137297232424,-66.59137297232424,-66.59137297232424,-66.59137297232424,0.0,0.0,0.0,3552.378657338386
28,2019-02-08,3631.543622230476,2830.1478302775295,4496.051615169213,3631.543622230476,3631.543622230476,20.66093584962773,20.66093584962773,20.66093584962773,20.66093584962773,20.66093584962773,20.66093584962773,0.0,0.0,0.0,3652.2045580801037
29,2019-02-09,3644.117214150241,2798.79439788855,4414.559359545894,3644.117214150241,3644.117214150241,7.3398359001779525,7.3398359001779525,7.3398359001779525,7.3398359001779525,7.3398359001779525,7.3398359001779525,0.0,0.0,0.0,3651.457050050419
30,2019-02-10,3656.690806070007,2814.296461948352,4484.919670895229,3656.690806070007,3656.690806070007,-9.954993557434488,-9.954993557434488,-9.954993557434488,-9.954993557434488,-9.954993557434488,-9.954993557434488,0.0,0.0,0.0,3646.7358125125725
31,2019-02-11,3669.264397989773,2901.2427844980475,4555.791826157814,3669.264397989773,3669.264397989773,46.866841806836426,46.866841806836426,46.866841806836426,46.866841806836426,46.866841806836426,46.866841806836426,0.0,0.0,0.0,3716.1312397966094
32,2019-02-12,3681.837989909539,2830.51857221672,4465.12533217369,3681.837989909539,3681.837989909539,-11.548890409525244,-11.548890409525244,-11.548890409525244,-11.548890409525244,-11.548890409525244,-11.548890409525244,0.0,0.0,0.0,3670.289099500014
33,2019-02-13,3694.4115818293044,2894.047915894457,4434.506931917446,3694.4115818293044,3694.4115818293044,13.22764338283363,13.22764338283363,13.22764338283363,13.22764338283363,13.22764338283363,13.22764338283363,0.0,0.0,0.0,3707.639225212138
34,2019-02-14,3706.9851737490703,2848.850115797021,4462.888621924223,3706.9851737490703,3706.9851737490703,-66.59137297227625,-66.59137297227625,-66.59137297227625,-66.59137297227625,-66.59137297227625,-66.59137297227625,0.0,0.0,0.0,3640.3938007767943
35,2019-02-15,3719.5587656688363,2937.9822998267696,4578.538581357698,3719.5587656688363,3719.5587656688363,20.660935849602218,20.660935849602218,20.660935849602218,20.660935849602218,20.660935849602218,20.660935849602218,0.0,0.0,0.0,3740.2197015184383
36,2019-02-16,3732.132370694614,2914.555263474358,4542.893986217849,3732.132370694614,3732.132370694614,7.339835900274641,7.339835900274641,7.339835900274641,7.339835900274641,7.339835900274641,7.339835900274641,0.0,0.0,0.0,3739.4722065948886
37,2019-02-17,3744.7059757203915,2993.215691936193,4553.621532200564,3744.7059757203915,3744.7059757203915,-9.95499355774587,-9.95499355774587,-9.95499355774587,-9.95499355774587,-9.95499355774587,-9.95499355774587,0.0,0.0,0.0,3734.7509821626454
38,2019-02-18,3757.2795807461694,3038.3802369061896,4633.9265143110215,3757.2795807461694,3757.2795807461694,46.86684180670924,46.86684180670924,46.86684180670924,46.86684180670924,46.86684180670924,46.86684180670924,0.0,0.0,0.0,3804.1464225528784
39,2019-02-19,3769.853185771947,2995.0908528236223,4635.709930040671,3769.853185771947,3769.853185771947,-11.548890409655472,-11.548890409655472,-11.548890409655472,-11.548890409655472,-11.548890409655472,-11.548890409655472,0.0,0.0,0.0,3758.3042953622917
40,2019-02-20,3782.426790797724,2914.434485795992,4634.218743537404,3782.426790797724,3782.426790797724,13.227643382822658,13.227643382822658,13.227643382822658,13.227643382822658,13.227643382822658,13.227643382822658,0.0,0.0,0.0,3795.654434180547
41,2019-02-21,3795.0003958235015,2912.1578089459217,4540.513593139349,3795.0003958235015,3795.0003958235015,-66.59137297222823,-66.59137297222823,-66.59137297222823,-66.59137297222823,-66.59137297222823,-66.59137297222823,0.0,0.0,0.0,3728.409022851273
42,2019-02-22,3807.5740008492794,3046.4544626393877,4641.375938366206,3807.5740008492794,3807.5740008492794,20.660935849507325,20.660935849507325,20.660935849507325,20.660935849507325,20.660935849507325,20.660935849507325,0.0,0.0,0.0,3828.234936698787
43,2019-02-23,3820.1476058750573,2964.0716835408084,4679.628815804805,3820.1476058750573,3820.1476058750573,7.339835900063893,7.339835900063893,7.339835900063893,7.339835900063893,7.339835900063893,7.339835900063893,0.0,0.0,0.0,3827.487441775121
44,2019-02-24,3832.7212109008346,3003.945253389813,4649.604770625225,3832.7212109008346,3832.7212109008346,-9.954993557550248,-9.954993557550248,-9.954993557550248,-9.954993557550248,-9.954993557550248,-9.954993557550248,0.0,0.0,0.0,3822.7662173432846
45,2019-02-25,3845.2948159266125,3096.441921269585,4710.351636399338,3845.2948159266125,3845.2948159266125,46.866841806769905,46.866841806769905,46.866841806769905,46.866841806769905,46.866841806769905,46.866841806769905,0.0,0.0,0.0,3892.1616577333825
46,2019-02-26,3857.8684209523904,3031.484130557759,4645.091935579716,3857.8684209523904,3857.8684209523904,-11.54889040960829,-11.54889040960829,-11.54889040960829,-11.54889040960829,-11.54889040960829,-11.54889040960829,0.0,0.0,0.0,3846.319530542782
47,2019-02-27,3870.4420259781673,3070.951748647428,4727.845228237403,3870.4420259781673,3870.4420259781673,13.227643382873444,13.227643382873444,13.227643382873444,13.227643382873444,13.227643382873444,13.227643382873444,0.0,0.0,0.0,3883.6696693610406
48,2019-02-28,3883.0160171890166,3080.672402316988,4604.150448091446,3883.0160171890166,3883.0160171890166,-66.59137297222519,-66.59137297222519,-66.59137297222519,-66.59137297222519,-66.59137297222519,-66.59137297222519,0.0,0.0,0.0,3816.4246442167914
49,2019-03-01,3895.5900083998663,3078.9636042427337,4669.565614803368,3895.5900083998667,3895.5900083998667,20.66093584970457,20.66093584970457,20.66093584970457,20.66093584970457,20.66093584970457,20.66093584970457,0.0,0.0,0.0,3916.2509442495707
50,2019-03-02,3908.163999610715,3080.6255245647935,4761.478157459203,3908.163999610715,3908.163999610715,7.33983590037761,7.33983590037761,7.33983590037761,7.33983590037761,7.33983590037761,7.33983590037761,0.0,0.0,0.0,3915.503835511093
51,2019-03-03,3920.737990821565,3031.9938424607967,4738.758133980091,3920.7379908215644,3920.7379908215644,-9.95499355735462,-9.95499355735462,-9.95499355735462,-9.95499355735462,-9.95499355735462,-9.95499355735462,0.0,0.0,0.0,3910.7829972642103
52,2019-03-04,3933.311982032414,3149.219001882431,4749.920711622562,3933.311982032414,3933.311982032414,46.866841806830564,46.866841806830564,46.866841806830564,46.866841806830564,46.866841806830564,46.866841806830564,0.0,0.0,0.0,3980.1788238392446
53,2019-03-05,3945.885973243263,3067.173667944281,4768.427020582407,3945.885973243263,3945.885973243263,-11.548890409532346,-11.548890409532346,-11.548890409532346,-11.548890409532346,-11.548890409532346,-11.548890409532346,0.0,0.0,0.0,3934.3370828337306
54,2019-03-06,3958.4599644541127,3139.6255952167576,4806.510410187028,3958.4599644541127,3958.4599644541127,13.227643382834477,13.227643382834477,13.227643382834477,13.227643382834477,13.227643382834477,13.227643382834477,0.0,0.0,0.0,3971.6876078369473
55,2019-03-07,3971.033955664962,3101.259968037762,4693.9936393517855,3971.033955664962,3971.033955664962,-66.59137297231634,-66.59137297231634,-66.59137297231634,-66.59137297231634,-66.59137297231634,-66.59137297231634,0.0,0.0,0.0,3904.4425826926454
56,2019-03-08,3983.6079468758116,3146.159651050726,4797.522981623272,3983.6079468758116,3983.6079468758116,20.660935849456298,20.660935849456298,20.660935849456298,20.660935849456298,20.660935849456298,20.660935849456298,0.0,0.0,0.0,4004.2688827252678
57,2019-03-09,3996.1819380866605,3162.6278568790717,4816.137129652236,3996.1819380866605,3996.1819380866605,7.339835900166866,7.339835900166866,7.339835900166866,7.339835900166866,7.339835900166866,7.339835900166866,0.0,0.0,0.0,4003.521773986827
58,2019-03-10,4008.75592929751,3214.334201923628,4820.355375077744,4008.75592929751,4008.75592929751,-9.954993557666002,-9.954993557666002,-9.954993557666002,-9.954993557666002,-9.954993557666002,-9.954993557666002,0.0,0.0,0.0,3998.800935739844
59,2019-03-11,4026.9160131749622,3291.245262280298,4834.661069695187,4026.9160131749622,4026.9160131749622,46.86684180684193,46.86684180684193,46.86684180684193,46.86684180684193,46.86684180684193,46.86684180684193,0.0,0.0,0.0,4073.782854981804
60,2019-03-12,4045.076097052415,3195.680856928624,4887.887779252881,4045.076097052415,4045.076097052415,-11.54889040948516,-11.54889040948516,-11.54889040948516,-11.54889040948516,-11.54889040948516,-11.54889040948516,0.0,0.0,0.0,4033.52720664293
61,2019-03-13,4063.2361809298673,3274.9380355248627,4918.54312601995,4063.2361809298673,4063.2361809298673,13.22764338279551,13.22764338279551,13.22764338279551,13.22764338279551,13.22764338279551,13.22764338279551,0.0,0.0,0.0,4076.463824312663
62,2019-03-14,4081.3962648073193,3177.8987827528344,4848.917419356564,4081.3962648073193,4081.3962648073193,-66.5913729724075,-66.5913729724075,-66.5913729724075,-66.5913729724075,-66.5913729724075,-66.5913729724075,0.0,0.0,0.0,4014.804891834912
63,2019-03-15,4099.556348684772,3293.6236030281566,4932.970015045767,4099.556348684772,4099.556348684772,20.660935849514797,20.660935849514797,20.660935849514797,20.660935849514797,20.660935849514797,20.660935849514797,0.0,0.0,0.0,4120.2172845342875
64,2019-03-16,4117.716432562224,3286.6770993297573,4991.730994221009,4117.716432562224,4117.716432562224,7.3398359002409554,7.3398359002409554,7.3398359002409554,7.3398359002409554,7.3398359002409554,7.3398359002409554,0.0,0.0,0.0,4125.056268462466
65,2019-03-17,4135.876516439676,3290.127156135732,4969.878951134981,4135.876516439676,4135.876516439676,-9.954993557470376,-9.954993557470376,-9.954993557470376,-9.954993557470376,-9.954993557470376,-9.954993557470376,0.0,0.0,0.0,4125.921522882206
66,2019-03-18,4154.036600317128,3462.6606879279193,4973.508111829643,4154.036600317128,4154.036600317128,46.86684180671475,46.86684180671475,46.86684180671475,46.86684180671475,46.86684180671475,46.86684180671475,0.0,0.0,0.0,4200.903442123843
67,2019-03-19,4172.196684194581,3319.2817896525116,4987.287652017504,4172.196684194581,4172.196684194581,-11.548890409615392,-11.548890409615392,-11.548890409615392,-11.548890409615392,-11.548890409615392,-11.548890409615392,0.0,0.0,0.0,4160.647793784966
68,2019-03-20,4190.356768072033,3372.3657486488873,5010.338249349393,4190.356768072033,4190.356768072033,13.227643382784542,13.227643382784542,13.227643382784542,13.227643382784542,13.227643382784542,13.227643382784542,0.0,0.0,0.0,4203.584411454818
69,2019-03-21,4208.5168519494855,3369.9856315979323,4922.685311238741,4208.5168519494855,4208.5168519494855,-66.59137297226529,-66.59137297226529,-66.59137297226529,-66.59137297226529,-66.59137297226529,-66.59137297226529,0.0,0.0,0.0,4141.92547897722
70,2019-03-22,4226.676935826938,3395.348345683164,5074.704725775461,4226.676935826938,4226.676935826938,20.660935849489277,20.660935849489277,20.660935849489277,20.660935849489277,20.660935849489277,20.660935849489277,0.0,0.0,0.0,4247.337871676426
71,2019-03-23,4258.289660388418,3454.6308284267916,5065.84405353914,4258.289660388418,4258.289660388418,7.339835900292444,7.339835900292444,7.339835900292444,7.339835900292444,7.339835900292444,7.339835900292444,0.0,0.0,0.0,4265.6294962887105
72,2019-03-24,4289.9023849499,3422.1875375890395,5104.783294499977,4289.9023849499,4289.9023849499,-9.954993557524533,-9.954993557524533,-9.954993557524533,-9.954993557524533,-9.954993557524533,-9.954993557524533,0.0,0.0,0.0,4279.947391392376
73,2019-03-25,4321.515109511381,3563.3794416010837,5128.907793872607,4321.515109511381,4321.515109511381,46.866841806963265,46.866841806963265,46.866841806963265,46.866841806963265,46.866841806963265,46.866841806963265,0.0,0.0,0.0,4368.381951318343
74,2019-03-26,4353.127834072861,3505.2325284662556,5136.599707424274,4353.127834072861,4353.127834072861,-11.548890409509468,-11.548890409509468,-11.548890409509468,-11.548890409509468,-11.548890409509468,-11.548890409509468,0.0,0.0,0.0,4341.578943663352
75,2019-03-27,4384.740558634342,3524.292721290887,5249.29609209869,4384.740558634342,4384.740558634342,13.227643382807328,13.227643382807328,13.227643382807328,13.227643382807328,13.227643382807328,13.227643382807328,0.0,0.0,0.0,4397.968202017149
76,2019-03-28,4416.353283195824,3588.744185555529,5186.248126298443,4416.353283195824,4416.353283195824,-66.59137297235644,-66.59137297235644,-66.59137297235644,-66.59137297235644,-66.59137297235644,-66.59137297235644,0.0,0.0,0.0,4349.761910223468
77,2019-03-29,4447.9660077573035,3602.3495595780796,5302.473210056569,4447.9660077573035,4447.9660077573035,20.660935849686517,20.660935849686517,20.660935849686517,20.660935849686517,20.660935849686517,20.660935849686517,0.0,0.0,0.0,4468.62694360699
78,2019-03-30,4479.578732318785,3708.548729037219,5318.62307874421,4479.578732318785,4479.578732318785,7.339835900343933,7.339835900343933,7.339835900343933,7.339835900343933,7.339835900343933,7.339835900343933,0.0,0.0,0.0,4486.918568219129
79,2019-03-31,4511.191456880266,3767.130083799741,5302.457082736166,4511.191456880266,4511.191456880266,-9.954993557328908,-9.954993557328908,-9.954993557328908,-9.954993557328908,-9.954993557328908,-9.954993557328908,0.0,0.0,0.0,4501.236463322937
80,2019-04-01,4542.804181441747,3780.247868130943,5400.103488307607,4542.804181441747,4542.804181441747,46.86684180673749,46.86684180673749,46.86684180673749,46.86684180673749,46.86684180673749,46.86684180673749,0.0,0.0,0.0,4589.671023248484
81,2019-04-02,4574.416906003228,3719.8222271612112,5349.638709066021,4574.416906003228,4574.416906003228,-11.548890409550994,-11.548890409550994,-11.548890409550994,-11.548890409550994,-11.548890409550994,-11.548890409550994,0.0,0.0,0.0,4562.868015593677
82,2019-04-03,4620.08238249476,3841.9535410455082,5385.856060909566,4620.08238249476,4620.08238249476,13.227643382796362,13.227643382796362,13.227643382796362,13.227643382796362,13.227643382796362,13.227643382796362,0.0,0.0,0.0,4633.310025877557
83,2019-04-04,4665.747858986293,3727.5091085550957,5442.391787649505,4665.747858986293,4665.747858986293,-66.59137297230843,-66.59137297230843,-66.59137297230843,-66.59137297230843,-66.59137297230843,-66.59137297230843,0.0,0.0,0.0,4599.156486013984
84,2019-04-05,4711.413335477825,3934.5337422618463,5629.919005108024,4711.413335477826,4711.413335477826,20.660935849438243,20.660935849438243,20.660935849438243,20.660935849438243,20.660935849438243,20.660935849438243,0.0,0.0,0.0,4732.074271327263
85,2019-04-06,4757.078811969357,3937.921771360241,5614.395835751601,4757.078811969357,4757.078811969357,7.339835900155785,7.339835900155785,7.339835900155785,7.339835900155785,7.339835900155785,7.339835900155785,0.0,0.0,0.0,4764.418647869513
86,2019-04-07,4802.744288460889,3951.6978319822833,5628.898095443207,4802.744288460889,4802.744288460889,-9.954993557640288,-9.954993557640288,-9.954993557640288,-9.954993557640288,-9.954993557640288,-9.954993557640288,0.0,0.0,0.0,4792.789294903248
87,2019-04-08,4848.409764952422,4046.7197890051566,5726.347538716321,4848.409764952422,4848.409764952422,46.8668418066103,46.8668418066103,46.8668418066103,46.8668418066103,46.8668418066103,46.8668418066103,0.0,0.0,0.0,4895.276606759032
88,2019-04-09,4894.075241443954,4093.058875087707,5661.618215637667,4894.075241443954,4894.075241443954,-11.548890409592515,-11.548890409592515,-11.548890409592515,-11.548890409592515,-11.548890409592515,-11.548890409592515,0.0,0.0,0.0,4882.526351034361
89,2019-04-10,4939.740717935486,4144.043535993027,5747.184466673453,4939.740717935486,4939.740717935486,13.227643382757389,13.227643382757389,13.227643382757389,13.227643382757389,13.227643382757389,13.227643382757389,0.0,0.0,0.0,4952.968361318243
90,2019-04-11,4985.406194427018,4083.549037959342,5742.822710883639,4985.406194427018,4985.406194427018,-66.59137297226043,-66.59137297226043,-66.59137297226043,-66.59137297226043,-66.59137297226043,-66.59137297226043,0.0,0.0,0.0,4918.814821454757
