,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-11,1061.1911212119048,1048.8135503992453,1207.1164678900705,1061.1911212119048,1061.1911212119048,67.98696256976845,67.98696256976845,67.98696256976845,-2.3779722273200443,-2.3779722273200443,-2.3779722273200443,70.36493479708848,70.36493479708848,70.36493479708848,0.0,0.0,0.0,1129.1780837816732
1,2018-01-12,1055.3811970433342,1050.8214895442939,1202.4440030187252,1055.3811970433342,1055.3811970433342,69.6417964602734,69.6417964602734,69.6417964602734,-0.6972822249332592,-0.6972822249332592,-0.6972822249332592,70.33907868520666,70.33907868520666,70.33907868520666,0.0,0.0,0.0,1125.0229935036075
2,2018-01-13,1049.5712728747637,1049.5484159232692,1199.02222482336,1049.5712728747637,1049.5712728747637,73.46554633886103,73.46554633886103,73.46554633886103,4.032238957045157,4.032238957045157,4.032238957045157,69.43330738181588,69.43330738181588,69.43330738181588,0.0,0.0,0.0,1123.0368192136248
3,2018-01-14,1043.761348706193,1035.1371794539868,1189.2769322386168,1043.761348706193,1043.761348706193,69.81440429991333,69.81440429991333,69.81440429991333,2.123057067992927,2.123057067992927,2.123057067992927,67.69134723192043,67.69134723192043,67.69134723192043,0.0,0.0,0.0,1113.5757530061064
4,2018-01-15,1037.9514245376226,1025.5928302084803,1179.6894276927708,1037.9514245376226,1037.9514245376226,66.16323374460327,66.16323374460327,66.16323374460327,0.9915883702978042,0.9915883702978042,0.9915883702978042,65.17164537430547,65.17164537430547,65.17164537430547,0.0,0.0,0.0,1104.114658282226
5,2018-01-16,1032.141500369052,1017.0357609890845,1169.96163386235,1032.141500369052,1032.141500369052,60.284210157757435,60.284210157757435,60.284210157757435,-1.6619731349018676,-1.6619731349018676,-1.6619731349018676,61.94618329265929,61.94618329265929,61.94618329265929,0.0,0.0,0.0,1092.4257105268093
6,2018-01-17,1026.3315762004813,1005.945124978772,1161.8320805634132,1026.3315762004813,1026.3315762004813,55.68935391860994,55.68935391860994,55.68935391860994,-2.4096568081800873,-2.4096568081800873,-2.4096568081800873,58.09901072679003,58.09901072679003,58.09901072679003,0.0,0.0,0.0,1082.0209301190912
7,2018-01-18,1020.5216520319108,991.4763628084297,1149.488530817387,1020.5216520319108,1020.5216520319108,51.346560119916326,51.346560119916326,51.346560119916326,-2.377972227325555,-2.377972227325555,-2.377972227325555,53.72453234724188,53.72453234724188,53.72453234724188,0.0,0.0,0.0,1071.868212151827
8,2018-01-19,1014.7117278633402,995.5003871828164,1144.6868790849849,1014.7117278633402,1014.7117278633402,48.22830289303094,48.22830289303094,48.22830289303094,-0.6972822249390865,-0.6972822249390865,-0.6972822249390865,48.92558511797003,48.92558511797003,48.92558511797003,0.0,0.0,0.0,1062.9400307563712
9,2018-01-20,1008.9018036947696,978.2184814038692,1132.6025673197548,1008.9018036947696,1008.9018036947696,47.84358783592845,47.84358783592845,47.84358783592845,4.032238957045426,4.032238957045426,4.032238957045426,43.81134887888304,43.81134887888304,43.81134887888304,0.0,0.0,0.0,1056.745391530698
10,2018-01-21,1003.091879526199,967.129567274288,1120.6408393546676,1003.091879526199,1003.091879526199,40.61819333353384,40.61819333353384,40.61819333353384,2.1230570679916285,2.1230570679916285,2.1230570679916285,38.495136265542214,38.495136265542214,38.495136265542214,0.0,0.0,0.0,1043.710072859733
11,2018-01-22,997.2819553576284,956.6169240977763,1103.1226630588444,997.2819553576284,997.2819553576284,34.083698934645554,34.083698934645554,34.083698934645554,0.9915883702952503,0.9915883702952503,0.9915883702952503,33.09211056435029,33.09211056435029,33.09211056435029,0.0,0.0,0.0,1031.365654292274
12,2018-01-23,991.4720311890579,940.9616291951673,1094.9275389536185,991.4720311890579,991.4720311890579,26.055008290220428,26.055008290220428,26.055008290220428,-1.6619731348991857,-1.6619731348991857,-1.6619731348991857,27.716981425119624,27.716981425119624,27.716981425119624,0.0,0.0,0.0,1017.5270394792783
13,2018-01-24,985.6621070204874,930.5184888753997,1080.8325947610488,985.6621070204874,985.6621070204874,20.07207168411182,20.07207168411182,20.07207168411182,-2.409656808174056,-2.409656808174056,-2.409656808174056,22.48172849228587,22.48172849228587,22.48172849228587,0.0,0.0,0.0,1005.7341787045992
14,2018-01-25,979.8521828519167,926.2855912048523,1078.7730119925798,979.8521828519167,979.8521828519167,15.11542975230162,15.11542975230162,15.11542975230162,-2.3779722273181485,-2.3779722273181485,-2.3779722273181485,17.49340197961977,17.49340197961977,17.49340197961977,0.0,0.0,0.0,994.9676126042183
15,2018-01-26,974.0422586833462,909.7651547208823,1066.211313287909,974.0422586833462,974.0422586833462,12.154764805779468,12.154764805779468,12.154764805779468,-0.697282224941121,-0.697282224941121,-0.697282224941121,12.852047030720588,12.852047030720588,12.852047030720588,0.0,0.0,0.0,986.1970234891256
16,2018-01-27,968.2323345147755,899.7632226394693,1059.6569253931873,968.2323345147754,968.2323345147754,12.68103440443267,12.68103440443267,12.68103440443267,4.032238957048528,4.032238957048528,4.032238957048528,8.648795447384144,8.648795447384144,8.648795447384144,0.0,0.0,0.0,980.9133689192082
