,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-11,7259.067897917234,9904.493130452267,12586.89005222658,7259.067897917234,7259.067897917234,3957.914894825364,3957.914894825364,3957.914894825364,-10.474995960566542,-10.474995960566542,-10.474995960566542,3968.389890785931,3968.389890785931,3968.389890785931,0.0,0.0,0.0,11216.982792742598
1,2018-01-12,7243.399926973511,9950.722650765467,12714.228361899453,7243.399926973511,7243.399926973511,4042.9387764456155,4042.9387764456155,4042.9387764456155,18.189903628583686,18.189903628583686,18.189903628583686,4024.748872817031,4024.748872817031,4024.748872817031,0.0,0.0,0.0,11286.338703419127
2,2018-01-13,7227.731956029789,9895.877770042847,12782.463108331673,7227.731956029789,7227.731956029789,4126.398186642153,4126.398186642153,4126.398186642153,66.99718680872608,66.99718680872608,66.99718680872608,4059.4009998334263,4059.4009998334263,4059.4009998334263,0.0,0.0,0.0,11354.130142671942
3,2018-01-14,7212.063985086066,9877.943553242972,12686.89665354254,7212.063985086066,7212.063985086066,4040.0586837340747,4040.0586837340747,4040.0586837340747,-33.45795756659889,-33.45795756659889,-33.45795756659889,4073.5166413006737,4073.5166413006737,4073.5166413006737,0.0,0.0,0.0,11252.12266882014
4,2018-01-15,7196.396014142344,9873.037813048699,12669.728076290852,7196.396014142344,7196.396014142344,4060.9440719072604,4060.9440719072604,4060.9440719072604,-7.613254589442714,-7.613254589442714,-7.613254589442714,4068.557326496703,4068.557326496703,4068.557326496703,0.0,0.0,0.0,11257.340086049604
5,2018-01-16,7180.72804319862,9785.9099818702,12624.886960288048,7180.72804319862,7180.72804319862,4016.567221822738,4016.567221822738,4016.567221822738,-29.67881910889006,-29.67881910889006,-29.67881910889006,4046.246040931628,4046.246040931628,4046.246040931628,0.0,0.0,0.0,11197.295265021357
6,2018-01-17,7165.060072254898,9760.200280144622,12553.82874149037,7165.060072254898,7165.060072254898,4004.570554495921,4004.570554495921,4004.570554495921,-3.9620632117655865,-3.9620632117655865,-3.9620632117655865,4008.532617707686,4008.532617707686,4008.532617707686,0.0,0.0,0.0,11169.630626750819
7,2018-01-18,7149.392101311175,9691.866830640332,12519.89002390433,7149.392101311175,7149.392101311175,3947.0799605916277,3947.0799605916277,3947.0799605916277,-10.474995960746044,-10.474995960746044,-10.474995960746044,3957.554956552374,3957.554956552374,3957.554956552374,0.0,0.0,0.0,11096.472061902803
8,2018-01-19,7133.724130367453,9721.005559029252,12449.336200692149,7133.724130367453,7133.724130367453,3913.786794494895,3913.786794494895,3913.786794494895,18.189903628485943,18.189903628485943,18.189903628485943,3895.5968908664086,3895.5968908664086,3895.5968908664086,0.0,0.0,0.0,11047.510924862348
9,2018-01-20,7118.05615942373,9587.100739120164,12396.552886441143,7118.05615942373,7118.05615942373,3892.040778642929,3892.040778642929,3892.040778642929,66.99718680862519,66.99718680862519,66.99718680862519,3825.043591834304,3825.043591834304,3825.043591834304,0.0,0.0,0.0,11010.09693806666
10,2018-01-21,7102.388188480008,9456.507514539893,12147.780191228927,7102.3881884800085,7102.3881884800085,3714.87748941188,3714.87748941188,3714.87748941188,-33.45795756664511,-33.45795756664511,-33.45795756664511,3748.335446978525,3748.335446978525,3748.335446978525,0.0,0.0,0.0,10817.265677891888
11,2018-01-22,7086.7202175362845,9379.565497475542,12102.921769716238,7086.7202175362845,7086.7202175362845,3660.308122859762,3660.308122859762,3660.308122859762,-7.613254589449896,-7.613254589449896,-7.613254589449896,3667.9213774492123,3667.9213774492123,3667.9213774492123,0.0,0.0,0.0,10747.028340396046
12,2018-01-23,7071.052246592562,9223.623931199989,11990.944032313,7071.052246592562,7071.052246592562,3556.533744281114,3556.533744281114,3556.533744281114,-29.678819108882152,-29.678819108882152,-29.678819108882152,3586.212563389996,3586.212563389996,3586.212563389996,0.0,0.0,0.0,10627.585990873677
13,2018-01-24,7055.384275648838,9026.508634680287,11929.006872812068,7055.384275648838,7055.384275648838,3501.5754666661355,3501.5754666661355,3501.5754666661355,-3.9620632116080694,-3.9620632116080694,-3.9620632116080694,3505.537529877744,3505.537529877744,3505.537529877744,0.0,0.0,0.0,10556.959742314973
14,2018-01-25,7039.716304705115,9047.351479473435,11908.848369863457,7039.716304705115,7039.716304705115,3417.624511904057,3417.624511904057,3417.624511904057,-10.474995960494489,-10.474995960494489,-10.474995960494489,3428.0995078645515,3428.0995078645515,3428.0995078645515,0.0,0.0,0.0,10457.340816609172
15,2018-01-26,7024.048333761393,8993.779867230243,11883.230743248116,7024.048333761393,7024.048333761393,3374.126829832826,3374.126829832826,3374.126829832826,18.18990362855073,18.18990362855073,18.18990362855073,3355.936926204275,3355.936926204275,3355.936926204275,0.0,0.0,0.0,10398.17516359422
16,2018-01-27,7008.38036281767,9036.300631107939,11839.296035046065,7008.38036281767,7008.38036281767,3357.885000715807,3357.885000715807,3357.885000715807,66.99718680873099,66.99718680873099,66.99718680873099,3290.8878139070757,3290.8878139070757,3290.8878139070757,0.0,0.0,0.0,10366.265363533477
17,2018-01-28,6992.712391873948,8787.917009404899,11691.296733366564,6992.712391873948,6992.712391873948,3201.100840511622,3201.100840511622,3201.100840511622,-33.457957566691334,-33.457957566691334,-33.457957566691334,3234.558798078314,3234.558798078314,3234.558798078314,0.0,0.0,0.0,10193.81323238557
18,2018-01-29,6977.044420930225,8782.8323442045,11567.972480318382,6977.044420930224,6977.044420930224,3180.6860204609175,3180.6860204609175,3180.6860204609175,-7.613254589475317,-7.613254589475317,-7.613254589475317,3188.299275050393,3188.299275050393,3188.299275050393,0.0,0.0,0.0,10157.730441391142
19,2018-01-30,6961.376449986503,8631.200977686029,11510.804422029776,6961.376449986503,6961.376449986503,3123.5023934662736,3123.5023934662736,3123.5023934662736,-29.67881910883912,-29.67881910883912,-29.67881910883912,3153.181212575112,3153.181212575112,3153.181212575112,0.0,0.0,0.0,10084.878843452776
