,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-11,0.0068949728978611406,0.006942949280562101,0.009256148137652485,0.0068949728978611406,0.0068949728978611406,0.0011732091396401162,0.0011732091396401162,0.0011732091396401162,-4.475532326093598e-06,-4.475532326093598e-06,-4.475532326093598e-06,0.0011776846719662097,0.0011776846719662097,0.0011776846719662097,0.0,0.0,0.0,0.008068182037501257
1,2018-01-12,0.006871144458092902,0.006788118400392376,0.009264432012529269,0.006871144458092902,0.006871144458092902,0.001137341549784634,0.001137341549784634,0.001137341549784634,8.642126850168727e-06,8.642126850168727e-06,8.642126850168727e-06,0.0011286994229344654,0.0011286994229344654,0.0011286994229344654,0.0,0.0,0.0,0.008008486007877536
2,2018-01-13,0.006847316018324663,0.006776628589011719,0.009159802590048276,0.006847316018324663,0.006847316018324663,0.0011352332223898028,0.0011352332223898028,0.0011352332223898028,6.947544956605343e-05,6.947544956605343e-05,6.947544956605343e-05,0.0010657577728237493,0.0010657577728237493,0.0010657577728237493,0.0,0.0,0.0,0.007982549240714466
3,2018-01-14,0.0068234875785564255,0.0066623963210770375,0.008977728812422932,0.0068234875785564255,0.0068234875785564255,0.0009945576653701983,0.0009945576653701983,0.0009945576653701983,4.635979765600625e-06,4.635979765600625e-06,4.635979765600625e-06,0.0009899216856045978,0.0009899216856045978,0.0009899216856045978,0.0,0.0,0.0,0.007818045243926625
4,2018-01-15,0.006799659138788187,0.006474599928355611,0.008889591174154996,0.006799659138788187,0.006799659138788187,0.0008893586146962172,0.0008893586146962172,0.0008893586146962172,-1.3126715713954281e-05,-1.3126715713954281e-05,-1.3126715713954281e-05,0.0009024853304101713,0.0009024853304101713,0.0009024853304101713,0.0,0.0,0.0,0.0076890177534844045
5,2018-01-16,0.00677583069901995,0.006329557211880835,0.008709509424954768,0.00677583069901995,0.00677583069901995,0.0007713952935504694,0.0007713952935504694,0.0007713952935504694,-3.355401923479634e-05,-3.355401923479634e-05,-3.355401923479634e-05,0.0008049493127852658,0.0008049493127852658,0.0008049493127852658,0.0,0.0,0.0,0.007547225992570419
6,2018-01-17,0.00675200225925171,0.006250786057930908,0.008571154916064992,0.00675200225925171,0.00675200225925171,0.0006673931517427579,0.0006673931517427579,0.0006673931517427579,-3.1597288906949676e-05,-3.1597288906949676e-05,-3.1597288906949676e-05,0.0006989904406497075,0.0006989904406497075,0.0006989904406497075,0.0,0.0,0.0,0.007419395410994468
7,2018-01-18,0.006728173819483472,0.006102801683930615,0.008520370576257933,0.006728173819483473,0.006728173819483473,0.0005819521703172768,0.0005819521703172768,0.0005819521703172768,-4.475532326200491e-06,-4.475532326200491e-06,-4.475532326200491e-06,0.0005864277026434773,0.0005864277026434773,0.0005864277026434773,0.0,0.0,0.0,0.007310125989800749
8,2018-01-19,0.0067043453797152345,0.00595529037138056,0.008359663562628685,0.0067043453797152345,0.0067043453797152345,0.00047782735198646483,0.00047782735198646483,0.00047782735198646483,8.642126850097017e-06,8.642126850097017e-06,8.642126850097017e-06,0.00046918522513636783,0.00046918522513636783,0.00046918522513636783,0.0,0.0,0.0,0.0071821727317017
9,2018-01-20,0.006680516939946995,0.005958468795555831,0.008245898890270966,0.006680516939946995,0.006680516939946995,0.0004187284937321747,0.0004187284937321747,0.0004187284937321747,6.947544956605663e-05,6.947544956605663e-05,6.947544956605663e-05,0.000349253044166118,0.000349253044166118,0.000349253044166118,0.0,0.0,0.0,0.00709924543367917
10,2018-01-21,0.006656688500178757,0.00579838625318094,0.008074121990376465,0.006656688500178757,0.006656688500178757,0.000233282558001644,0.000233282558001644,0.000233282558001644,4.63597976557683e-06,4.63597976557683e-06,4.63597976557683e-06,0.00022864657823606723,0.00022864657823606723,0.00022864657823606723,0.0,0.0,0.0,0.0068899710581804005
11,2018-01-22,0.0066328600604105194,0.005533502387015465,0.007916146505242732,0.0066328600604105194,0.0066328600604105194,9.623900034151865e-05,9.623900034151865e-05,9.623900034151865e-05,-1.3126715713996716e-05,-1.3126715713996716e-05,-1.3126715713996716e-05,0.00010936571605551537,0.00010936571605551537,0.00010936571605551537,0.0,0.0,0.0,0.0067290990607520385
12,2018-01-23,0.006609031620642281,0.005373184283252279,0.007748235198742932,0.006609031620642281,0.006609031620642281,-4.019957992566771e-05,-4.019957992566771e-05,-4.019957992566771e-05,-3.355401923477358e-05,-3.355401923477358e-05,-3.355401923477358e-05,-6.645560690894133e-06,-6.645560690894133e-06,-6.645560690894133e-06,0.0,0.0,0.0,0.006568832040716613
13,2018-01-24,0.006585203180874042,0.005237175301611611,0.007683387973542144,0.006585203180874042,0.006585203180874042,-0.00014913540459320253,-0.00014913540459320253,-0.00014913540459320253,-3.159728890685807e-05,-3.159728890685807e-05,-3.159728890685807e-05,-0.00011753811568634445,-0.00011753811568634445,-0.00011753811568634445,0.0,0.0,0.0,0.006436067776280839
14,2018-01-25,0.0065613747411058035,0.005131645058050927,0.007503320334020324,0.0065613747411058035,0.0065613747411058035,-0.00022606982384752066,-0.00022606982384752066,-0.00022606982384752066,-4.475532326064627e-06,-4.475532326064627e-06,-4.475532326064627e-06,-0.00022159429152145602,-0.00022159429152145602,-0.00022159429152145602,0.0,0.0,0.0,0.006335304917258283
