,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2018-01-11,196.77152339052,189.76622359498174,221.78994138916744,196.77152339052,196.77152339052,8.666710508391775,8.666710508391775,8.666710508391775,-0.8413569553456755,-0.8413569553456755,-0.8413569553456755,9.508067463737449,9.508067463737449,9.508067463737449,0.0,0.0,0.0,205.4382338989118
1,2018-01-12,196.1162702209709,188.43563982400903,220.8669204928233,196.1162702209709,196.1162702209709,9.154691871069392,9.154691871069392,9.154691871069392,0.008466608959363192,0.008466608959363192,0.008466608959363192,9.14622526211003,9.14622526211003,9.14622526211003,0.0,0.0,0.0,205.2709620920403
2,2018-01-13,195.46101705142183,190.98433924412328,221.93481184821758,195.46101705142183,195.46101705142183,9.620312540465319,9.620312540465319,9.620312540465319,1.0083046208923607,1.0083046208923607,1.0083046208923607,8.612007919572958,8.612007919572958,8.612007919572958,0.0,0.0,0.0,205.08132959188714
3,2018-01-14,194.80576388187274,185.89147763323732,219.2242921644697,194.80576388187274,194.80576388187274,8.41858189309795,8.41858189309795,8.41858189309795,0.49956054891852913,0.49956054891852913,0.49956054891852913,7.919021344179423,7.919021344179423,7.919021344179423,0.0,0.0,0.0,203.2243457749707
4,2018-01-15,194.1505107123236,184.83058933021698,217.51537658886093,194.1505107123236,194.1505107123236,7.1756047951515685,7.1756047951515685,7.1756047951515685,0.09145672994831713,0.09145672994831713,0.09145672994831713,7.084148065203252,7.084148065203252,7.084148065203252,0.0,0.0,0.0,201.32611550747518
5,2018-01-16,193.49525754277454,184.215221165397,214.82848941431374,193.49525754277454,193.49525754277454,5.930504793380717,5.930504793380717,5.930504793380717,-0.19677109936222642,-0.19677109936222642,-0.19677109936222642,6.127275892742943,6.127275892742943,6.127275892742943,0.0,0.0,0.0,199.42576233615526
6,2018-01-17,192.84000437322544,182.2019267409889,213.09728705629374,192.84000437322544,192.84000437322544,4.501296998728756,4.501296998728756,4.501296998728756,-0.569660454009087,-0.569660454009087,-0.569660454009087,5.070957452737844,5.070957452737844,5.070957452737844,0.0,0.0,0.0,197.3413013719542
7,2018-01-18,192.18475120367637,178.81577366541788,210.9940103982678,192.18475120367637,192.18475120367637,3.0986498565997307,3.0986498565997307,3.0986498565997307,-0.8413569553465595,-0.8413569553465595,-0.8413569553465595,3.94000681194629,3.94000681194629,3.94000681194629,0.0,0.0,0.0,195.2834010602761
8,2018-01-19,191.52949803412727,178.9581187213386,210.91453025823364,191.52949803412727,191.52949803412727,2.7695075804747087,2.7695075804747087,2.7695075804747087,0.008466608957643574,0.008466608957643574,0.008466608957643574,2.7610409715170654,2.7610409715170654,2.7610409715170654,0.0,0.0,0.0,194.29900561460198
9,2018-01-20,190.87424486457817,178.0145218012456,208.96646876779866,190.87424486457817,190.87424486457817,2.5702800297280306,2.5702800297280306,2.5702800297280306,1.008304620892308,1.008304620892308,1.008304620892308,1.5619754088357227,1.5619754088357227,1.5619754088357227,0.0,0.0,0.0,193.4445248943062
10,2018-01-21,190.21899169502908,174.71005420415798,206.90098660550458,190.21899169502908,190.21899169502908,0.8710445977987477,0.8710445977987477,0.8710445977987477,0.49956054891798135,0.49956054891798135,0.49956054891798135,0.37148404888076625,0.37148404888076625,0.37148404888076625,0.0,0.0,0.0,191.09003629282782
11,2018-01-22,189.56373852547998,173.96239480652702,204.4852053234112,189.56373852547998,189.56373852547998,-0.6901082542088033,-0.6901082542088033,-0.6901082542088033,0.09145672994805863,0.09145672994805863,0.09145672994805863,-0.781564984156862,-0.781564984156862,-0.781564984156862,0.0,0.0,0.0,188.87363027127117
12,2018-01-23,188.90848535593088,170.30623578583746,203.68007091720744,188.90848535593088,188.90848535593088,-2.0654568726969025,-2.0654568726969025,-2.0654568726969025,-0.19677109936185402,-0.19677109936185402,-0.19677109936185402,-1.8686857733350486,-1.8686857733350486,-1.8686857733350486,0.0,0.0,0.0,186.84302848323398
13,2018-01-24,188.2532321863818,168.59439692932824,200.9585751501536,188.2532321863818,188.2532321863818,-3.4320111343974125,-3.4320111343974125,-3.4320111343974125,-0.5696604540078595,-0.5696604540078595,-0.5696604540078595,-2.8623506803895533,-2.8623506803895533,-2.8623506803895533,0.0,0.0,0.0,184.8212210519844
14,2018-01-25,187.5979790168327,167.0851104140031,198.79394559024482,187.5979790168327,187.5979790168327,-4.577910405322747,-4.577910405322747,-4.577910405322747,-0.8413569553455749,-0.8413569553455749,-0.8413569553455749,-3.7365534499771713,-3.7365534499771713,-3.7365534499771713,0.0,0.0,0.0,183.02006861150997
15,2018-01-26,186.94272584728364,167.49424104492053,198.10323952706983,186.94272584728367,186.94272584728367,-4.458880266343972,-4.458880266343972,-4.458880266343972,0.008466608956438693,0.008466608956438693,0.008466608956438693,-4.467346875300411,-4.467346875300411,-4.467346875300411,0.0,0.0,0.0,182.48384558093966
16,2018-01-27,186.28747267773454,166.01728918341797,197.254290205784,186.28747267773454,186.28747267773454,-4.025038390880039,-4.025038390880039,-4.025038390880039,1.0083046208928903,1.0083046208928903,1.0083046208928903,-5.03334301177293,-5.03334301177293,-5.03334301177293,0.0,0.0,0.0,182.2624342868545
17,2018-01-28,185.63221950818541,165.00120038078956,197.29222259423838,185.63221950818541,185.63221950818541,-4.916604124446242,-4.916604124446242,-4.916604124446242,0.4995605489174336,0.4995605489174336,0.4995605489174336,-5.416164673363676,-5.416164673363676,-5.416164673363676,0.0,0.0,0.0,180.71561538373916
18,2018-01-29,184.97696633863634,162.80947080936087,195.7521204249356,184.97696633863634,184.97696633863634,-5.509381237110785,-5.509381237110785,-5.509381237110785,0.09145672994837768,0.09145672994837768,0.09145672994837768,-5.600837967059162,-5.600837967059162,-5.600837967059162,0.0,0.0,0.0,179.46758510152557
19,2018-01-30,184.32171316908725,162.21994680912823,194.23805252817533,184.32171316908722,184.32171316908722,-5.772887991466643,-5.772887991466643,-5.772887991466643,-0.19677109936190787,-0.19677109936190787,-0.19677109936190787,-5.576116892104736,-5.576116892104736,-5.576116892104736,0.0,0.0,0.0,178.5488251776206
20,2018-01-31,183.66645999953815,162.03866355670843,195.11876374157788,183.66645999953815,183.66645999953815,-5.904392976482463,-5.904392976482463,-5.904392976482463,-0.5696604540078505,-0.5696604540078505,-0.5696604540078505,-5.334732522474613,-5.334732522474613,-5.334732522474613,0.0,0.0,0.0,177.7620670230557
21,2018-02-01,183.01120682998908,159.9910657368491,193.7756054479435,183.01120682998908,183.01120682998908,-5.714917923507806,-5.714917923507806,-5.714917923507806,-0.8413569553458109,-0.8413569553458109,-0.8413569553458109,-4.873560968161995,-4.873560968161995,-4.873560968161995,0.0,0.0,0.0,177.29628890648127
